"class","cap.diameter","cap.shape","cap.surface","cap.color","does.bruise.or.bleed","gill.attachment","gill.spacing","gill.color","stem.height","stem.width","stem.root","stem.surface","stem.color","veil.type","veil.color","has.ring","ring.type","spore.print.color","habitat","season"
"e",9.59,"x","t","n","t","p","","n",7.22,18.03,"","","n","","w","t","p","","d","u"
"p",2.36,"f","h","y","f","","","y",7.96,3.08,"","","y","","","f","f","","g","u"
"e",8.75,"x","e","l","f","x","c","w",6.76,19.57,"","","w","","","f","f","","d","a"
"p",5.64,"b","k","n","f","a","c","y",5.25,5.67,"","i","n","","","t","","","d","u"
"p",5.91,"s","d","n","t","d","c","w",6.48,9.19,"","","e","","","f","f","","d","a"
"e",45,"o","y","y","f","p","","y",5.77,25.94,"","k","n","","","f","f","","d","u"
"p",2.07,"b","","n","f","a","","g",4.79,2.14,"","s","g","","","f","f","","d","a"
"p",3.59,"b","y","n","f","","c","g",5.94,4.44,"s","s","w","","","f","f","","d","u"
"p",15.07,"f","t","r","t","d","c","n",4.99,24.66,"","","n","","","f","f","","l","u"
"p",4.16,"x","y","n","f","a","","w",5.51,3.63,"","y","n","","","t","r","","d","u"
"e",1.16,"x","g","n","f","a","","w",4.66,1.84,"","t","y","","","f","f","","d","u"
"p",6,"s","d","o","f","d","c","y",3.4,6.54,"","","y","","","f","f","","d","a"
"p",1.56,"x","k","n","f","","","n",4.56,1.52,"","","n","","","f","f","","d","w"
"p",2.78,"b","d","r","f","a","","r",4.89,5.79,"","t","r","","","f","f","","g","u"
"p",2.54,"b","s","y","f","","c","k",7.37,6.94,"","","y","u","w","t","z","r","d","u"
"e",3.89,"x","","l","f","a","","r",5.77,5.32,"","","r","","","f","f","","d","u"
"p",3.59,"o","","w","f","f","f","f",5.55,30.31,"","g","w","","","t","f","","p","a"
"p",3.15,"x","y","n","f","a","","w",5.62,3.29,"","y","n","","","t","r","","g","u"
"e",3.9,"b","g","w","f","x","d","w",4.69,3.21,"","","y","","","f","f","","g","a"
"e",12.04,"f","s","n","t","e","","n",11.42,18.23,"s","","w","","","t","r","","m","a"
"e",7.69,"c","t","n","f","e","","w",12.54,13.2,"","s","n","u","w","f","f","","d","a"
"p",6.71,"p","y","n","f","","","p",13.1,17.36,"","","w","","","f","f","","d","a"
"p",3.2,"x","","w","f","x","c","p",7.47,3.83,"","","n","","","f","f","","d","u"
"e",4.84,"o","l","n","f","f","f","f",6.56,48.39,"","","n","","","f","f","g","d","a"
"p",1.16,"b","t","y","f","","c","k",4.49,2.67,"","","n","","","t","f","","m","u"
"e",8.3,"x","t","n","t","p","","y",8.27,21.82,"","","n","","","f","f","","d","u"
"p",3.27,"b","h","n","f","","","n",9.8,6.1,"","","w","","","t","","k","g","a"
"p",11.88,"f","","g","f","e","","w",11.54,18.62,"","","w","u","w","t","g","","d","a"
"p",3.57,"b","y","n","f","e","c","n",4.94,3.6,"","k","w","","","t","e","","m","a"
"e",2.2,"s","d","u","t","d","c","p",4.5,5.61,"","","n","","","f","f","","d","a"
"e",10.82,"x","y","n","t","e","","p",9.47,18.71,"","y","w","","","t","l","","l","a"
"p",2.08,"c","","u","f","a","c","n",2.79,3.4,"","i","w","","","f","f","","d","a"
"e",4.42,"x","d","o","f","d","d","b",5.02,12.79,"","","w","","","f","f","","g","a"
"p",9.59,"s","t","p","t","d","c","p",7.65,15.62,"","","p","","","t","f","","d","a"
"p",8.56,"x","y","n","f","a","c","n",12.42,11.24,"","y","y","","","t","","","d","u"
"p",9.97,"p","","n","f","p","","p",10.64,30.61,"c","","n","","","f","f","w","d","a"
"e",3.09,"x","","b","f","","d","w",6.48,4.84,"","","w","","","f","f","","d","w"
"e",7.45,"x","s","w","f","s","c","w",7.54,30.35,"","","w","","","f","f","","m","s"
"p",8.31,"f","","y","f","x","c","y",6.12,12.05,"","","w","","","f","f","","d","u"
"p",12.54,"x","","n","f","p","","p",10.73,31.68,"c","","n","","","f","f","w","d","a"
"p",3.13,"b","y","n","f","","c","g",5.8,4.49,"s","s","w","","","f","f","","d","u"
"p",7.21,"b","t","w","f","e","c","w",12.36,12.27,"","y","w","u","w","t","l","","d","a"
"p",8.41,"b","t","w","f","e","c","w",13.41,14.07,"","y","w","u","w","t","l","","d","a"
"p",1.74,"x","k","n","f","","","n",5.19,1.55,"","","n","","","f","f","","d","a"
"e",4.3,"o","","n","f","f","f","f",4.78,15.47,"","","n","","","f","f","","d","s"
"p",4.68,"x","t","o","f","a","c","y",5.93,6.57,"","g","o","","","f","f","","g","a"
"p",5.19,"s","k","y","f","p","","n",3.61,5.44,"","k","n","","","t","f","","d","u"
"e",9.33,"f","","b","f","d","c","w",2.52,11.28,"","","w","","","f","f","","d","a"
"p",8.25,"x","s","w","f","s","","y",6.48,15.7,"","i","n","","","f","f","","d","a"
"p",3.78,"b","y","l","f","s","c","u",5.69,8.03,"","y","w","","","t","e","k","m","u"
"p",7.24,"f","","y","f","x","c","n",7.42,13.13,"","","w","","","f","f","","d","u"
"p",3.14,"b","y","r","f","s","c","n",5.77,6.45,"","y","n","","","t","e","k","m","a"
"p",1.63,"o","k","n","f","","","n",4.05,1.51,"","","n","","","f","f","","d","u"
"e",6.88,"f","s","n","f","s","c","w",6.05,9.65,"b","i","n","","","f","f","","g","u"
"p",12.06,"s","t","r","t","d","c","n",5.38,14.55,"","","n","","","f","f","","h","a"
"e",3.08,"f","s","w","f","d","d","w",3.94,5.69,"","","w","","","f","f","","g","a"
"e",7.56,"f","h","o","f","s","","n",8.41,12.21,"","i","n","","","f","f","","d","a"
"p",8.95,"b","y","w","f","","","k",16.18,17.72,"","","w","","","f","f","","d","a"
"e",3.47,"x","k","n","f","p","","e",4.11,10.63,"","","y","","","f","f","","d","a"
"p",4.43,"s","w","u","f","a","c","u",6.32,6.48,"","s","u","","","f","f","","d","u"
"p",10.6,"x","e","n","f","a","","n",11.62,16.61,"s","","n","","e","f","f","","h","a"
"e",17.19,"f","s","n","f","a","d","k",7.93,24.73,"","","w","","","f","f","w","d","u"
"p",15.04,"x","s","n","t","p","","y",9,31.51,"c","","y","","","f","f","","d","a"
"p",9.21,"x","h","r","f","","c","w",11.6,15.8,"","","w","u","w","t","p","","d","a"
"e",9.7,"p","y","w","f","e","c","k",18.11,13.22,"","s","w","","","t","e","","u","w"
"e",7.45,"x","d","e","t","p","","r",6.24,12.3,"","","y","","","f","f","","d","u"
"e",6.57,"x","i","n","f","e","c","p",3.6,10.93,"","","w","","","t","r","","w","u"
"p",13.18,"x","","n","f","e","","w",10.72,15.12,"","","w","u","w","t","g","","d","a"
"p",1.32,"f","s","y","f","f","f","f",4.34,5.95,"","","y","","","f","f","","d","u"
"e",6.23,"x","","n","f","s","c","p",3.56,15.59,"b","","u","","","f","f","","g","a"
"e",18.51,"x","d","o","f","p","","n",16,34.68,"s","y","w","","","f","f","","d","u"
"e",7.49,"x","t","y","t","x","c","y",7.49,13.18,"","","w","","","f","f","","d","a"
"p",5.56,"x","e","e","f","a","","n",7.65,9.73,"","","n","","w","t","z","","d","a"
"p",6.85,"f","","r","f","x","c","y",5.36,10.12,"","","w","","","f","f","","d","a"
"e",1.17,"c","g","n","f","a","","g",4.71,1.15,"","","g","","","f","f","","l","a"
"e",3.8,"x","t","o","f","p","","n",4.2,8.34,"","","e","","","f","f","","d","u"
"p",4.12,"b","s","y","f","","c","r",8.55,7.49,"","","y","u","w","t","z","r","d","w"
"p",8.5,"x","","u","t","x","","n",8.2,17.2,"s","","g","","u","f","f","","d","a"
"p",5.63,"f","t","n","f","x","","w",15.01,8.11,"r","g","n","","","f","f","","d","a"
"e",7.5,"x","y","n","f","e","c","n",4.75,13.83,"","","w","","","t","r","","w","a"
"p",2.81,"x","","n","f","x","c","p",7.03,3.76,"","","n","","","f","f","","l","a"
"p",0.94,"x","g","w","f","a","d","w",3.2,1.65,"","","n","","","f","f","","l","a"
"p",15.28,"x","t","n","t","d","c","n",5.08,22.45,"","","r","","","f","f","","l","u"
"p",4.56,"x","","p","f","x","","w",6.36,7.61,"","","w","","","f","f","","d","u"
"e",4.4,"x","","w","f","x","c","w",7.98,7.97,"b","","n","","w","t","","","g","u"
"e",5.65,"x","h","n","f","x","c","n",4.67,5.11,"","y","n","","","t","r","","d","a"
"p",6.5,"x","","n","f","d","c","w",5.61,9.43,"b","","n","","","f","f","","l","w"
"e",12.42,"s","","w","t","d","c","w",6.08,25.03,"","","w","","","f","f","","d","u"
"e",8.31,"s","t","w","t","d","c","o",4.94,16.33,"","","w","","","f","f","","d","a"
"p",4.83,"x","t","n","f","a","c","n",4.26,6.72,"","y","n","","","t","z","","d","a"
"e",5.34,"x","","n","f","x","c","n",7.58,9,"b","","n","","w","t","","","g","a"
"p",3.09,"f","s","g","f","d","c","w",2.8,6.53,"","","w","","","f","f","","g","u"
"p",1.57,"x","","n","f","","","n",5.36,2.65,"","s","n","","","f","f","k","g","u"
"p",2.03,"p","t","n","f","a","c","g",6.86,2.4,"","t","y","","","t","e","","m","a"
"p",8.52,"x","y","n","f","a","c","y",9.31,10.56,"","y","n","","","t","","","d","a"
"e",4.34,"s","","n","f","f","f","f",6.88,7.27,"","","y","","","f","f","","d","a"
"e",2.2,"x","","b","f","","d","u",4.62,3.24,"","","w","","","f","f","","d","w"
"p",3.47,"o","","w","f","f","f","f",5.37,26.81,"","g","w","","","t","f","","d","a"
"e",3.46,"f","s","w","f","d","d","w",3.28,5.15,"","","w","","","f","f","","m","w"
"e",9.66,"x","y","n","t","e","","p",8.75,17.74,"","y","w","","","t","l","","d","a"
"e",1.35,"x","w","g","f","","d","k",4.59,2.48,"","","w","","","f","f","","g","s"
"e",4.52,"x","i","n","f","e","c","n",4.56,11.47,"","","w","","","t","r","","w","a"
"e",1.51,"x","w","g","f","","d","g",4.78,2.37,"","","w","","","f","f","","g","u"
"e",15.58,"x","e","n","t","e","","w",10.27,17.96,"","","w","","","t","","","g","a"
"e",7.88,"x","e","y","f","x","c","w",6.18,14.89,"","","w","","","f","f","","d","u"
"p",9.82,"x","e","y","t","p","","e",8.03,30.2,"","","u","","","f","f","","d","u"
"e",21.29,"p","d","o","f","p","","w",15.52,35.85,"s","y","w","","","f","f","","d","u"
"e",8.06,"p","s","w","f","e","c","p",15.14,11.48,"","s","w","","","t","e","","d","u"
"e",4.51,"f","t","n","f","a","d","y",7.7,6.16,"","s","o","","","f","f","","d","s"
"p",6.34,"c","e","y","t","x","c","r",7.09,12.44,"","","w","","","f","f","","g","s"
"p",3.62,"f","w","u","f","a","c","g",4.72,4.65,"","s","u","","","f","f","","d","a"
"p",8.63,"x","e","n","f","a","","n",7.59,13.64,"s","","n","","n","f","f","","d","a"
"p",3.32,"f","d","b","f","x","c","y",4.21,2.5,"b","i","n","","","f","f","","l","a"
"p",6.68,"x","k","n","f","a","c","y",5.45,6.69,"","i","n","","","t","","","d","a"
"p",2.73,"o","","g","f","f","f","f",2.53,14.76,"","g","n","","","f","f","","d","a"
"p",4.43,"o","","w","f","f","f","f",5.45,31.33,"","g","w","","","t","f","","d","u"
"p",10.63,"x","i","o","f","a","","o",10.05,20.42,"r","","y","","","t","r","n","d","w"
"p",1.42,"b","h","n","f","a","","n",3.74,1.26,"","t","n","","","f","f","","g","u"
"p",3.53,"x","i","e","f","","","e",4.38,6.35,"","","e","","","f","f","n","d","a"
"p",2.68,"f","y","w","f","e","c","w",4.4,3.44,"","k","w","","","t","e","","d","a"
"e",7.24,"x","t","y","t","x","c","y",7.5,15.4,"","","w","","","f","f","","d","u"
"e",9.15,"p","y","w","f","e","c","k",16.79,11.95,"","s","w","","","t","e","","u","a"
"p",8.18,"s","t","p","t","d","c","p",7.16,12.54,"","","p","","","t","f","","d","u"
"p",6.98,"s","h","r","t","d","","w",4.59,12.63,"","t","r","","","f","f","","d","u"
"e",3.07,"x","","y","f","a","c","o",3.07,7.63,"","","w","","","f","f","","d","u"
"p",1.96,"p","t","n","f","a","c","n",7,2.51,"","t","y","","","t","e","","m","a"
"e",10.67,"x","i","n","t","e","","p",9.14,18.75,"","y","w","","","t","l","","l","a"
"p",10.78,"o","","e","f","f","f","f",3.94,24.2,"","g","n","","","f","f","","d","s"
"p",10.55,"x","t","n","f","a","d","w",11.87,31.05,"","","w","","","f","f","","d","a"
"p",6.75,"x","i","y","f","a","c","n",7.78,8.08,"","i","n","","k","t","z","k","g","u"
"e",5.85,"x","","e","f","x","c","w",6.79,17.44,"","s","w","","","f","f","","d","u"
"e",9.78,"f","","g","f","d","c","w",2.36,13.83,"","","w","","","f","f","","d","a"
"e",0.8,"c","g","n","t","a","","w",5.79,1.04,"","","n","","","f","f","","d","a"
"p",5.52,"f","","g","f","d","c","y",5.68,11.3,"b","","n","","","f","f","","d","a"
"p",2.65,"x","d","w","f","d","d","w",2.92,2.34,"","h","w","","","f","f","","g","u"
"e",8.95,"f","d","w","f","s","c","w",7.22,37.09,"","","w","","","f","f","","d","s"
"e",7.62,"o","","n","f","","","w",4.49,22.19,"","","n","","","f","f","","d","a"
"p",4.11,"f","y","n","f","e","c","w",5.04,3.5,"","k","w","","","t","e","","m","u"
"p",1.4,"b","g","o","f","","c","n",6.01,3.02,"","","n","","","f","f","","m","u"
"p",10.1,"x","e","n","t","p","","o",7.84,30.12,"","","u","","","f","f","","d","a"
"p",5.79,"f","","y","f","s","d","y",5.81,11.62,"","i","y","","","f","f","","d","a"
"p",0.78,"x","g","p","f","a","","p",4.01,1.06,"","s","k","","","f","f","","d","a"
"e",4.86,"f","g","g","f","a","d","g",6.37,4.23,"","s","g","","","f","f","","d","s"
"e",4.1,"x","","w","f","a","","r",5.14,6.65,"","","l","","","f","f","","l","u"
"p",7.57,"s","t","p","t","d","c","p",7.46,11.89,"","","p","","","t","f","","d","a"
"e",5.99,"x","h","g","f","a","d","n",5.96,4.89,"","t","g","","","t","l","","d","a"
"e",4.77,"x","h","n","f","a","d","n",5.9,5.01,"","t","g","","","t","l","","d","u"
"p",12.5,"s","t","n","t","d","c","b",4.76,26.07,"","","g","","","f","f","","g","a"
"p",4.02,"f","d","n","f","x","c","w",4.24,3.21,"b","s","n","","","f","f","","l","a"
"p",7.13,"f","d","n","t","d","c","w",6.54,9.17,"","","e","","","f","f","","d","u"
"p",7.71,"s","h","n","t","d","","w",4.54,13.12,"","t","g","","","f","f","","d","u"
"e",50.33,"o","y","y","f","p","","y",6.96,42.64,"","k","n","","","f","f","","d","s"
"p",7.1,"f","d","e","t","d","c","w",5.98,8.63,"","","n","","","f","f","","d","u"
"p",4.12,"f","k","y","f","p","","n",3.14,5.21,"","k","n","","","t","f","","d","u"
"p",4.67,"f","l","n","f","x","d","n",6.26,5.38,"","","n","","","f","f","","d","a"
"p",19.36,"x","g","o","f","e","","w",17.86,17.32,"s","y","w","u","w","t","g","","d","u"
"p",5.59,"f","","g","f","d","c","y",4.98,10.35,"b","","n","","","f","f","","d","a"
"p",1.09,"b","t","y","f","","c","g",4.16,2.57,"","","n","","","t","f","","g","a"
"e",8.83,"x","t","n","t","p","","n",5.23,15.96,"","","n","","w","t","p","","d","u"
"e",5.25,"s","s","b","f","d","d","o",4.84,11.66,"","","w","","","f","f","","d","a"
"e",6.17,"x","s","b","f","d","d","b",4.72,10.53,"","","w","","","f","f","","d","a"
"p",11.94,"s","t","n","t","d","c","n",5.78,14.95,"","","n","","","f","f","","h","a"
"p",0.67,"x","g","o","f","","","y",3.38,0.68,"","","y","","","f","f","","d","u"
"p",2.54,"b","","k","f","a","","k",9.45,2.34,"","","n","","w","f","f","k","g","a"
"p",3.48,"f","","y","f","x","","w",4.46,6.87,"","","w","","","f","f","","d","a"
"p",12.84,"f","t","g","t","d","c","n",4.76,23.77,"","","g","","","f","f","","g","u"
"e",4.22,"x","t","n","f","a","d","y",6.3,6.03,"","s","o","","","f","f","","d","a"
"e",7.95,"p","y","n","t","e","","p",8.14,16.56,"","y","w","","","t","p","","l","a"
"e",6.6,"s","","n","f","d","c","w",4.49,7.51,"","s","w","","","f","f","","l","a"
"p",6.96,"x","t","n","f","s","","n",5.1,6.75,"","y","n","","","f","f","","d","w"
"p",0.84,"x","","o","f","d","","o",4.54,0.99,"","","y","","","f","f","w","g","a"
"e",3.55,"b","g","n","f","x","d","w",4.5,3.26,"","","y","","","f","f","","g","a"
"e",11.1,"s","","w","t","d","c","p",6.62,24.08,"","","w","","","f","f","","d","a"
"p",1.68,"b","","n","f","a","","g",4.73,1.75,"","s","g","","","f","f","","d","u"
"e",4.06,"f","d","g","t","d","c","p",4.78,6.15,"","","g","","","f","f","","d","u"
"p",4.55,"o","","w","f","f","f","f",6.01,36.54,"","g","w","","","t","f","","d","a"
"e",8.44,"x","e","y","f","x","c","w",7.3,15.78,"","","w","","","f","f","","d","u"
"p",6.66,"x","y","w","t","","","w",7.62,13.17,"s","","w","","","t","l","","g","a"
"e",7.01,"x","h","n","f","x","c","w",6.59,7.04,"","y","n","","","t","r","","d","a"
"e",8.25,"f","s","w","f","s","c","w",7.51,28.17,"","","w","","","f","f","","m","s"
"p",0.68,"x","g","p","f","a","","n",4.06,0.92,"","h","k","","","f","f","","d","w"
"p",3.16,"b","y","n","f","","c","w",5.76,4.44,"s","s","w","","","f","f","","d","a"
"p",4.13,"f","k","w","f","s","","p",3.85,2.98,"","","n","","","f","f","p","g","u"
"p",3.87,"x","t","n","f","s","","g",4.94,7.58,"","y","n","","","f","f","","d","a"
"p",5.96,"x","g","n","f","e","","w",7.39,14.01,"","y","w","u","w","t","p","","d","u"
"p",17.74,"s","k","n","f","d","c","y",6.78,42.75,"","k","k","","","f","f","","d","u"
"p",1.23,"x","s","y","f","f","f","f",3.92,6.41,"","","y","","","f","f","","d","a"
"e",4.05,"b","g","g","f","a","d","g",3.73,3.09,"","s","g","","","f","f","","d","a"
"e",10.98,"x","y","y","f","","","w",7.21,25.72,"b","","n","","w","t","e","","d","w"
"p",0.74,"x","g","p","f","a","","n",3.87,1.03,"","s","k","","","f","f","","d","w"
"p",5.67,"x","e","e","f","a","","g",8.15,9.75,"","","n","","w","t","z","","d","a"
"p",11.95,"x","t","n","f","a","d","w",10.55,30.75,"","","w","","","f","f","","d","a"
"e",5.97,"x","t","y","f","p","","y",7.8,14.56,"","","y","","y","t","","","d","u"
"p",5.83,"s","k","y","f","p","","n",3.69,6.95,"","k","n","","","t","f","","d","u"
"p",3.74,"b","w","u","f","a","c","u",4.25,5.35,"","s","u","","","f","f","","d","u"
"e",3.27,"x","d","n","f","p","","e",4.9,10.25,"","","y","","","f","f","","d","a"
"p",8.59,"x","","w","f","x","c","w",10.22,11.86,"r","i","w","","","f","f","","d","u"
"e",4.68,"f","y","g","f","s","","w",4.71,8.59,"","","w","","","f","f","","d","a"
"p",3.32,"x","i","e","f","","","e",4.25,3.82,"","","e","","","f","f","n","d","a"
"e",11.87,"x","s","n","f","x","","n",7.02,24.58,"","","w","","","f","f","","d","u"
"e",11.96,"s","","w","t","d","c","p",6.65,26.27,"","","w","","","f","f","","d","u"
"p",2.13,"b","","n","f","a","","g",5.35,2.3,"","s","n","","","f","f","","d","u"
"e",3.86,"b","g","n","f","x","d","w",4.58,3.13,"","","y","","","f","f","","g","a"
"p",7.9,"x","h","r","f","","c","w",11.37,14.98,"","","w","u","w","t","g","","d","u"
"p",3.42,"x","h","o","f","a","c","n",3.96,5.11,"","y","o","","","t","z","","d","w"
"p",3.98,"f","t","n","f","x","c","p",6.58,4.54,"","i","g","","","f","f","","d","u"
"e",8.55,"x","e","l","f","x","c","w",7.1,16.79,"","","w","","","f","f","","d","u"
"e",5.28,"x","h","n","f","x","c","w",5.37,6.12,"","y","n","","","t","r","","d","w"
"e",7.69,"x","d","b","f","d","d","o",6.21,13.54,"","","w","","","f","f","","d","a"
"p",8.69,"f","y","e","f","s","c","y",6.73,23.27,"","y","e","","","f","f","","d","a"
"e",5.17,"x","h","n","f","a","d","n",5.32,4.15,"","t","g","","","t","l","","d","u"
"e",0.74,"b","g","g","f","","","g",2.64,1.38,"","","w","","","f","f","","d","s"
"e",3.73,"x","s","w","f","d","d","w",3.47,6.28,"","","w","","","f","f","","m","w"
"p",5.94,"x","","g","f","d","c","w",6.08,11.13,"b","","n","","","f","f","","d","a"
"p",7.4,"p","g","n","f","e","","w",7.54,14.42,"","y","w","u","w","t","p","","d","u"
"p",5.6,"s","d","n","t","d","c","w",6,8.83,"","","n","","","f","f","","d","a"
"p",1.95,"b","","g","f","a","","g",4.94,2.08,"","s","g","","","f","f","","d","u"
"p",3.93,"x","y","n","f","a","","w",5.77,3.63,"","y","y","","","t","r","","d","u"
"p",7.57,"s","d","e","t","d","c","y",7.16,9.55,"","","e","","","f","f","","d","u"
"e",5.25,"x","s","w","f","e","c","n",4.82,12.36,"","","w","","w","t","e","","m","a"
"p",1.37,"f","s","y","f","f","f","f",4.3,5.79,"","","y","","","f","f","","d","u"
"e",4.45,"x","","y","f","a","c","o",4.56,9.18,"","","w","","","f","f","","d","a"
"e",6.72,"s","w","y","f","f","f","f",5.8,13.52,"","","y","","","f","f","","d","a"
"e",6.83,"x","y","n","f","e","c","p",4.92,9.74,"","y","n","","","f","f","","d","u"
"p",12.27,"f","","g","f","e","","w",10.65,13.41,"","","w","u","w","t","g","","d","a"
"e",7.65,"x","d","n","t","p","","y",7.9,16.17,"","","y","","","f","f","","d","u"
"p",6.76,"s","d","n","t","d","c","w",7.32,8.21,"","","n","","","f","f","","d","a"
"p",6.24,"f","t","e","f","x","","w",14.9,7.45,"r","g","n","","","f","f","","d","a"
"e",8.58,"f","","n","t","","","w",10.17,15.81,"b","","w","u","w","t","g","","d","a"
"e",2.82,"s","","n","f","f","f","f",6.47,6.98,"","","y","","","f","f","","d","a"
"e",3.22,"x","","u","f","","d","u",6.52,4.88,"","","w","","","f","f","","d","w"
"p",3.26,"f","d","b","f","x","c","w",4.22,2.93,"b","i","n","","","f","f","","l","u"
"e",7.19,"x","l","w","f","d","","w",3.45,8.82,"","","w","","","f","f","","d","a"
"e",7.19,"x","h","n","f","a","d","n",7.07,5.94,"","t","w","","","t","l","","d","w"
"e",6.76,"x","h","n","f","p","d","y",5.02,11.29,"","s","n","","","f","f","","h","a"
"e",1.81,"x","w","n","f","","d","g",4.7,2.46,"","","w","","","f","f","","d","u"
"e",3.8,"x","k","n","f","p","","n",5.17,10.95,"","","n","","","f","f","","d","a"
"p",10.2,"f","","n","f","e","","w",10.85,13.8,"","","w","u","w","t","g","","d","a"
"p",7.52,"x","y","w","t","","","w",7.74,13.79,"s","","w","","","t","l","","g","u"
"e",9.2,"x","s","k","f","a","c","w",4.26,14.89,"","","w","","","f","f","","d","u"
"e",8.9,"p","s","w","f","e","c","p",24.41,13.81,"","s","w","","","t","e","","u","a"
"e",10.34,"x","t","n","f","p","d","y",7.2,12.35,"","s","n","","","f","f","","d","a"
"e",3.81,"s","","n","f","f","f","f",6.75,7.25,"","","y","","","f","f","","d","a"
"e",3.04,"x","d","n","f","p","","e",4.38,10.02,"","","n","","","f","f","","d","a"
"p",11.87,"x","s","g","f","s","","y",7.81,18.34,"","i","n","","","f","f","","d","a"
"p",7.31,"s","d","o","f","d","c","o",4.14,7.4,"","","o","","","f","f","","h","a"
"e",3.22,"s","","n","f","f","f","f",6.65,7.28,"","","y","","","f","f","","d","a"
"p",2.81,"f","","u","f","a","c","w",3.99,3.39,"","i","w","","","f","f","","p","u"
"p",1.5,"x","","n","f","","","n",5.03,2.49,"","s","n","","","f","f","k","g","a"
"p",2.44,"s","w","n","t","d","c","y",2.99,5.44,"","","n","","","f","f","","d","a"
"p",1.72,"x","g","y","f","d","d","n",2.17,2.34,"","s","n","","","f","f","","d","a"
"p",10.24,"x","t","n","t","d","c","n",5.65,14.69,"","","n","","","f","f","","d","a"
"e",13.29,"f","y","e","f","","","w",7.08,26.36,"b","","n","","w","t","e","","d","w"
"p",20.25,"s","k","w","t","d","d","w",7.38,35.29,"","","w","","","f","f","","d","u"
"p",17.39,"f","s","n","f","d","c","y",5.85,34.47,"","k","n","","","f","f","","d","a"
"p",3.84,"f","","w","f","x","c","p",8.47,4.37,"","","p","","","f","f","","d","u"
"p",3.09,"x","t","n","f","s","c","p",5.2,7.07,"","","w","","n","t","z","","d","u"
"e",10.21,"p","y","w","f","e","c","w",22.85,13.04,"","s","w","","","t","e","","d","s"
"e",2.47,"x","","u","f","","d","w",6.06,4.73,"","","w","","","f","f","","d","a"
"e",7.72,"x","s","k","f","a","c","w",4.8,16.51,"","","w","","","f","f","","d","u"
"p",9.28,"x","i","n","f","a","c","n",8.88,9.38,"","i","n","","k","t","z","k","g","a"
"e",4.21,"x","","w","f","x","c","u",5.72,3.68,"","","w","","","f","f","","d","u"
"p",2.41,"c","h","y","f","","","n",7.32,3.21,"","","y","","","f","f","","g","u"
"p",4.2,"x","","y","f","x","","w",3.76,5.64,"","","w","","","f","f","","d","a"
"p",8.5,"s","","r","t","d","","o",6.33,13.47,"","","w","","","t","f","","d","a"
"p",7.44,"f","","r","f","x","c","n",6.27,10.51,"","","w","","","f","f","","d","u"
"e",4.45,"f","g","g","f","a","d","g",4.74,3.39,"","s","g","","","f","f","","d","s"
"p",5.14,"b","k","n","f","a","c","n",5.83,6.32,"","i","n","","","t","","","d","u"
"e",8.26,"f","s","n","f","d","d","w",7.92,15.46,"","i","n","","","t","","w","d","w"
"p",7.48,"f","h","r","f","","c","w",11.22,14.22,"","","w","u","w","t","g","","d","u"
"e",11.34,"x","e","l","f","x","c","w",6.7,20.22,"","","w","","","f","f","","d","u"
"p",9.79,"s","t","p","t","d","c","p",7.52,13.98,"","","p","","","t","f","","d","u"
"e",9.66,"x","i","n","t","e","","p",8.69,16.34,"","y","w","","","t","l","","l","a"
"p",4.26,"b","y","n","f","e","c","w",5.5,3.79,"","k","w","","","t","e","","d","a"
"p",4.34,"x","","p","f","x","","w",6.42,7.2,"","","w","","","f","f","","d","u"
"e",6.76,"x","","w","f","e","","w",5.87,11.82,"b","","w","u","w","t","g","","d","u"
"p",7.01,"o","k","r","f","","c","o",1.47,15.45,"","","y","","","f","f","","d","w"
"p",15.05,"s","k","w","t","d","d","w",5.74,27.62,"","","w","","","f","f","","d","w"
"p",3.25,"b","h","n","f","","","n",9.7,5.15,"","","w","","","t","","k","g","a"
"p",8.8,"x","s","g","t","s","d","r",6.94,16.98,"r","y","w","","","f","f","","d","u"
"p",2.91,"b","s","y","f","","c","r",6.83,6.74,"","","y","u","w","t","z","r","d","a"
"p",8.84,"f","y","u","f","s","c","y",6.08,20.98,"","y","u","","","f","f","","d","a"
"p",7.91,"x","s","g","t","s","d","r",4.78,15.17,"r","i","n","","","f","f","","d","u"
"e",9.96,"x","s","n","t","p","","y",7.49,18.56,"","","n","","w","t","p","","d","u"
"e",6.67,"b","h","g","f","s","d","w",6.44,11.55,"","s","g","","","f","f","","d","u"
"p",5.89,"s","d","e","t","d","c","w",5.09,8.82,"","","n","","","f","f","","d","u"
"e",8.93,"x","t","n","f","p","d","y",7.4,12.27,"","s","n","","","f","f","","g","u"
"p",11.08,"x","e","n","t","p","","o",11.06,32.53,"","","u","","","f","f","","d","a"
"p",2.45,"f","t","y","f","a","","y",4.48,5.11,"","t","y","","","f","f","","m","u"
"p",8.79,"x","y","y","f","a","c","n",10.93,11.88,"","y","n","","","t","","","d","u"
"e",2.88,"f","d","n","t","d","c","p",4.31,5.16,"","","g","","","f","f","","d","u"
"p",9.7,"f","t","n","t","d","c","n",5.84,13.44,"","","n","","","f","f","","h","a"
"e",8.56,"x","t","y","f","p","","y",7.7,15.27,"","","y","","y","t","","","d","a"
"e",3.37,"x","t","n","f","a","d","y",5.76,6.03,"","k","o","","","f","f","","d","s"
"p",7.25,"x","h","e","f","x","","w",13.59,8.31,"r","g","n","","","f","f","","d","u"
